smile,flavor
C1C(C(C(OC1O)CO)O)O,sweet
C(CC(=O)O)C(=O)C(=O)O,odorless
CCC(=O)C(=O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O,sweet
C1=CC=C(C=C1)CCC(=O)O,sweet
C1=CC(=CC=C1CO)O,bitter
C1=CC(=CC=C1C=O)O,sweet
CC(C(=O)C)O,sweet
CC(=O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,sweet
C(CCC(=O)O)CC(=O)O,odorless
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O,sweet
C(C1C(C(C(C(O1)O)O)O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O,sweet
C1C(C(C(C(O1)O)O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,sweet
C(CN)C(=O)O,odorless
C1=CC=C(C=C1)C=O,bitter
C1=CC=C(C=C1)CO,sweet
CCCCO,sweet
C1C2C(C(C(O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O,sweet
C(=O)=O,odorless
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,sweet
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,odorless
C1=CC=C2C(=C1)C=CC(=O)O2,bitter
C1=C(C=C(C(=C1O)O)O)C(=O)O,bitter
C(C(C(C(C(CO)O)O)O)O)O,sweet
COC1=CC=CC=C1O,sweet
CN(C)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,sweet
CC(C(=O)O)N,odorless
C(C(C(C(C(C(=O)O)O)O)O)O)O,sweet
CC(C(=O)O)O,odorless
C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)(O)O)O,sweet
C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O,sweet
C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,sweet
CC(=O)C(=O)C,sweet
C1=CC=C2C(=C1)C(=O)C(=C(O2)O)CC3=C(OC4=CC=CC=C4C3=O)O,bitter
C1CC(=O)OC2=CC=CC=C21,sweet
CS(=O)C,bitter
CCO,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC(C(C(CN)O)O)O)O)O,sweet
